config,group,n_seeds,ap_mean,ap_median,ap_std,ap_q1,ap_q3,ap_iqr
Baseline,Ensemble,10,0.3141113389702107,0.3136699938123385,0.005123631928781467,0.3108320595562605,0.31822492015930526,0.007392860603044782
Baseline,No Ensemble,10,0.23432397051309511,0.2343335786664156,0.003791295554001637,0.23330386607257375,0.23590897390161814,0.002605107829044384
