config,metric,n_seeds,delta_mean,delta_std,t_stat,df,p_value,cohens_dz,p_value_adj_holm
Baseline,average_precision,10,0.07978736845711557,0.003951495637640243,63.8517250106935,9,1.430109996152746e-13,20.191688356453064,2.860219992305492e-13
Baseline,roc_auc,10,0.08082253379970891,0.00258239848425204,98.97128372387881,9,2.783725052049701e-15,31.29746795182083,1.1134900208198804e-14
Tuned,average_precision,10,0.059996738265953684,0.003598783433165905,52.71957833108326,9,7.986372031530805e-13,16.67139448098816,7.986372031530805e-13
Tuned,roc_auc,10,0.03354624366879577,0.0014577723936243792,72.77030172909959,9,4.4181073015812663e-14,23.011989948164402,1.32543219047438e-13
