seed,config,model,group,threshold,pos_label,n_test,pos_rate_test,tp,tn,fp,fn,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,fit_seconds
42,Baseline,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2226,31991,10001,782,0.7509310917378387,0.18205610534063957,0.7400265957446809,0.29222185756481783,0.8272171364707764,0.3223726237946417,3.0762202739715576
42,Baseline,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,1037,38309,3683,1971,0.6285200790525449,0.21970338983050847,0.3447473404255319,0.26837474120082816,0.6287314367503638,0.11955867977105059,1.3199694156646729
42,Baseline,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2178,31577,10415,830,0.7380228579506533,0.17295322798380053,0.7240691489361702,0.2792128709698096,0.8084543609560383,0.2789325836899825,0.26047325134277344
42,Baseline,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,1125,40056,1936,1883,0.6639493198805851,0.3675269519764783,0.3740026595744681,0.3707365299060801,0.8333913589923917,0.3156533770822306,13.043656587600708
42,Baseline,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,1083,40025,1967,1925,0.6565988189746375,0.35508196721311475,0.36003989361702127,0.3575437438098382,0.8169259356455435,0.2944117188335108,40.835347414016724
42,Baseline,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1384,39698,2294,1624,0.7027384648747684,0.3762914627514954,0.4601063829787234,0.4139994017349686,0.8503607291713112,0.3519992503869038,1.138451337814331
43,Baseline,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2215,31958,10034,793,0.7487097023039849,0.1808310882521022,0.7363696808510638,0.2903585239562168,0.8228311970453845,0.311223282253995,2.7433745861053467
43,Baseline,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,1041,38373,3619,1967,0.6299470225838356,0.22339055793991416,0.3460771276595745,0.2715179968701095,0.6305332696349456,0.12139890928970672,1.3913261890411377
43,Baseline,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2168,31584,10408,840,0.7364439731174732,0.17239185750636132,0.7207446808510638,0.2782340862422998,0.8050880322189029,0.2707422370381403,0.2855401039123535
43,Baseline,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,1117,40034,1958,1891,0.6623575779885125,0.36325203252032523,0.371343085106383,0.36725300016439255,0.8299860038563577,0.3158616928675683,11.887337923049927
43,Baseline,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,1084,39954,2038,1924,0.6559196432552502,0.3472133247918001,0.3603723404255319,0.3536704730831974,0.814386298378009,0.29154082142903404,44.0440468788147
43,Baseline,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1358,39663,2329,1650,0.697999910317264,0.3683211282885815,0.45146276595744683,0.40567587752053774,0.8473946238936596,0.3418969485628931,1.0814056396484375
44,Baseline,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2230,31814,10178,778,0.7494884410607086,0.17972275950999356,0.7413563829787234,0.2893098079916969,0.8240281939784376,0.3097946410407968,3.193448305130005
44,Baseline,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,1050,38317,3675,1958,0.6307762395471478,0.2222222222222222,0.3490691489361702,0.2715634294581663,0.6307392398767445,0.12096974798834781,1.317058801651001
44,Baseline,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2187,31479,10513,821,0.738351979657726,0.1722047244094488,0.727061170212766,0.2784568372803667,0.8075053967979715,0.27187265438750696,0.3066403865814209
44,Baseline,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,1148,40039,1953,1860,0.6675700386699797,0.37020316027088035,0.3816489361702128,0.37583892617449666,0.8352573980023551,0.3164789112956077,12.4965078830719
44,Baseline,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,1105,39898,2094,1903,0.6587435410696263,0.34542044388871523,0.3673537234042553,0.35604962139519897,0.8192283348424015,0.29298126939607155,35.237141370773315
44,Baseline,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1377,39772,2220,1631,0.7024560212583552,0.38281901584653877,0.4577792553191489,0.4169568508705526,0.8509933336782994,0.34700634565904354,0.7408645153045654
45,Baseline,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2191,32014,9978,817,0.745387134276843,0.1800476620922015,0.7283909574468085,0.2887263622586809,0.8260764762563689,0.3181838728411237,2.078967809677124
45,Baseline,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,1018,38249,3743,1990,0.6246474125770664,0.2138206259189246,0.3384308510638298,0.26206719011455787,0.6255081388349555,0.11680116794562345,1.281843900680542
45,Baseline,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2158,31516,10476,850,0.7339720610410088,0.17080892828874467,0.7174202127659575,0.27592379491113667,0.8057803381305152,0.27283242416185927,0.27234911918640137
45,Baseline,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,1112,40076,1916,1896,0.6620265562234752,0.36723910171730517,0.3696808510638298,0.36845593108018554,0.8341322905540771,0.3159543302552459,11.991261959075928
45,Baseline,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,1084,40015,1977,1924,0.6566459720797883,0.35413263639333553,0.3603723404255319,0.3572252430383918,0.817821535883988,0.2945751767176109,39.760605335235596
45,Baseline,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1401,39654,2338,1607,0.7050403534310486,0.3746991174110725,0.46575797872340424,0.41529568697198754,0.8524166156395544,0.3511549849866148,0.7117798328399658
