config,metric,n_seeds,delta_mean,delta_median,shapiro_p,wilcoxon_p,wilcoxon_r,ttest_p,cohens_d_paired,wilcoxon_p_adj_holm
Baseline,average_precision,10,0.07978736845711551,0.0807070979537327,0.4896970267053792,0.005062032126267865,0.8864052604279182,2.860219992305543e-13,20.191688351343135,0.02024812850507146
Baseline,roc_auc,10,0.08082253379970886,0.08033588963437316,0.3450161433826354,0.005062032126267865,0.8864052604279182,5.5674501040998365e-15,31.29746793970102,0.02024812850507146
Baseline,f1,10,0.10055809764494723,0.10086447811001431,0.7663083449878065,0.005062032126267865,0.8864052604279182,5.579681071201858e-14,24.219816560564055,0.02024812850507146
Baseline,recall,10,-0.20213874113475178,-0.2014627659574467,0.40422884281476246,0.005062032126267865,0.8864052604279182,4.566049482665398e-15,-31.995244605556902,0.02024812850507146
Tuned,average_precision,10,0.05999673826595362,0.06124974851264445,0.3126899295503382,0.005062032126267865,0.8864052604279182,1.5972744063062972e-12,16.67139447635549,0.02024812850507146
Tuned,roc_auc,10,0.03354624366879574,0.033402544000275605,0.47671341330454786,0.005062032126267865,0.8864052604279182,8.836214603164791e-14,23.01198993237802,0.02024812850507146
Tuned,f1,10,0.0647158743770338,0.0637388805638194,0.550769306913296,0.005062032126267865,0.8864052604279182,2.775153212935949e-12,15.67588476501166,0.02024812850507146
Tuned,recall,10,-0.027293882978723382,-0.02554299645390065,0.4570337126041761,0.005062032126267865,0.8864052604279182,2.6833323462413e-06,-3.2732490698920023,0.02024812850507146
