config,group,metric,mean,std,median
Baseline,Ensemble,balanced_accuracy,0.674593857332163,0.018780097929024138,0.6670046922564784
Baseline,Ensemble,precision,0.36200995763605165,0.012031445958418307,0.3632885318267878
Baseline,Ensemble,recall,0.39952349290780137,0.040689069491074085,0.3813164893617021
Baseline,Ensemble,f1,0.3792575198070792,0.023295646705133552,0.3719487014930562
Baseline,Ensemble,roc_auc,0.8333147192307568,0.013505947586700078,0.8335742771767825
Baseline,Ensemble,average_precision,0.31411133897021065,0.024988893775125892,0.31417914482554143
Baseline,No Ensemble,balanced_accuracy,0.7046854226032924,0.054771099713410924,0.7373108112284812
Baseline,No Ensemble,precision,0.19045734239529163,0.020721313911993527,0.18040307911702505
Baseline,No Ensemble,recall,0.6016622340425531,0.1837285763812417,0.722406914893617
Baseline,No Ensemble,f1,0.2786994221621319,0.009443174814734293,0.27834546176133323
Baseline,No Ensemble,roc_auc,0.7524921854310479,0.089015899626886,0.8054341851747091
Baseline,No Ensemble,average_precision,0.23432397051309514,0.08426936899387168,0.27180625333606767
Tuned,Ensemble,balanced_accuracy,0.7698347124798509,0.007131096407163079,0.7706213607556455
Tuned,Ensemble,precision,0.24799156841253717,0.01632241062847291,0.23897740377662996
Tuned,Ensemble,recall,0.6911236702127659,0.031934751852167764,0.7024601063829787
Tuned,Ensemble,f1,0.36416931811212,0.013071964699454045,0.3578593458698608
Tuned,Ensemble,roc_auc,0.8564551610018339,0.0028269211864209542,0.8558077322162174
Tuned,Ensemble,average_precision,0.37118049796296987,0.008643678039237964,0.370147462103467
Tuned,No Ensemble,balanced_accuracy,0.7481598466408328,0.008392238930465694,0.7527965686473208
Tuned,No Ensemble,precision,0.18955780575740658,0.015556105895572011,0.1898217974984491
Tuned,No Ensemble,recall,0.7184175531914895,0.019477192219253734,0.7232380319148937
Tuned,No Ensemble,f1,0.29945344373508614,0.01790004451513652,0.30127296026654715
Tuned,No Ensemble,roc_auc,0.8229089173330381,0.013249266647750625,0.8281321746980428
Tuned,No Ensemble,average_precision,0.3111837596970161,0.02881651143563249,0.3264205465410398
