config,metric,n_seeds,delta_mean,delta_median,wilcoxon_stat,wilcoxon_p,wilcoxon_r,wilcoxon_p_adj_holm
Baseline,average_precision,10,0.07978736845711557,0.0807070979537328,0.0,0.001953125,0.9794424813518325,0.0078125
Baseline,roc_auc,10,0.08082253379970891,0.08033588963437321,0.0,0.001953125,0.9794424813518325,0.0078125
Tuned,average_precision,10,0.059996738265953684,0.0612497485126445,0.0,0.001953125,0.9794424813518325,0.0078125
Tuned,roc_auc,10,0.03354624366879577,0.03340254400027559,0.0,0.001953125,0.9794424813518325,0.0078125
